2129,203402,205367
1450,203505,205418
1443,203610,205455
1462,203699,205494
1453,203767,205519
1443,203817,205539
1535,203873,205565
1509,203909,205577
1589,203967,205599
1562,204049,205636
1553,204142,205664
1600,204222,205711
1595,204327,205738
1645,204413,205786
1675,204496,205815
1708,204555,205840
1712,204635,205873
1631,204672,205879
1681,204622,205849
1617,204504,205782
1499,204307,205672
1568,204069,205557
1490,203767,205412
1504,203459,205262
1456,203143,205125
1417,202875,204975
1424,202603,204873
1441,202411,204779
1443,202279,204738
1457,202228,204701
1501,202244,204730
1520,202304,204735
1498,202337,204755
1439,202402,204777
1565,202448,204807
1491,202505,204819
1555,202549,204851
1522,202617,204869
1582,202696,204908
1516,202796,204961
1535,202932,205017
1585,203084,205082
1554,203203,205150
1632,203280,205177
1699,203309,205185
1715,203311,205169
1646,203299,205160
1607,203260,205135
1535,203226,205111
1535,203196,205093
1575,203152,205070
1573,203142,205068
1535,203128,205066
1597,203109,205031
1615,203096,205030
1837,203066,205004
2271,203025,204996
3221,203012,204976
2519,203001,204970
1587,203034,204975
1375,203064,204990
1379,203119,205002
1471,203164,205014
1559,203193,205041
1488,203221,205038
1611,203235,205041
1600,203259,205031
1607,203283,205051
1607,203320,205050
1703,203361,205066
1622,203376,205067
1748,203362,205049
1737,203354,205039
1668,203345,205034
1731,203358,205023
1793,203348,205024
1727,203290,204972
1687,203133,204883
1771,202906,204753
1683,202607,204611
1667,202252,204430
1691,201845,204221
1666,201425,204004
1648,201021,203831
1715,200712,203673
1679,200450,203569
1739,200271,203465
1733,200124,203409
1793,200011,203340
1777,199966,203330
1776,199973,203331
1903,200010,203350
1794,200031,203340
1813,200040,203356
1862,200041,203336
1785,200061,203334
1827,200102,203360
1882,200192,203402
1770,200310,203452
1892,200452,203515
1826,200614,203592
1855,200719,203634
1898,200800,203668
1951,200864,203701
1935,200917,203710
1861,200970,203737
1836,201042,203768
1886,201108,203793
1784,201160,203831
1859,201223,203857
1818,201304,203879
1809,201368,203915
1843,201435,203940
1913,201494,203970
2141,201549,203997
2761,201621,204024
3545,201705,204065
2501,201818,204117
1775,201940,204170
1574,202060,204218
1632,202177,204285
1657,202289,204329
